Word	Word Index	POS Label	NER Label	Tweet
poutine	11	PROPN	O	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …
friday	7	PROPN	O	rt @user912 : you know it 's friday when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …
@user444	17	PROPN	O	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444
@user1598	1	PROPN	O	""" @user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 """
gospel	7	PROPN	O	""" do n't move on from the gospel , move into the gospel ! "" todd friel"
gospel	12	PROPN	O	""" do n't move on from the gospel , move into the gospel ! "" todd friel"
model	15	PROPN	O	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107
@user779	16	PROPN	O	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107
#fridaynightlights	0	PROPN	O	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??
#harrypotter	0	PROPN	O	#harrypotter marathon while i write my papers .
marathon	1	PROPN	O	#harrypotter marathon while i write my papers .
#lebronshould	0	PROPN	O	#lebronshould know his only championship is ' slam dunk ' . @user2004
#teamceltics	0	PROPN	O	#teamceltics . lakers we coming for you .
#jordanheels	0	PROPN	O	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls
jordan	13	PROPN	O	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls
dj	1	PROPN	O	#np dj got us - falling in love ag - u$her ft. pitbull
@user676	6	PROPN	O	#teamnevertoobusytotweet we are on it !!! @user676 url196
d	10	PROPN	O	3-0 !! phew !!! good no td !!! go job d !!! #birdgang
@user9	0	PROPN	O	@user9 when have u ever said yes ... ?
@user15	0	PROPN	O	@user15 what happened ?
@user48	0	PROPN	O	@user48 ha !! damn auto spellcheck * rondo * lmbo
@user58	0	PROPN	O	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p
@user144	0	PROPN	O	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh
@user148	0	PROPN	O	@user148 4 pages to be precise
@user155	0	PROPN	O	@user155 that hurts !
@user156	0	PROPN	O	@user156 i 'm allergic and they taste horrible
@user175	0	PROPN	O	@user175 i ve been fine .. could be better lol [:
@user181	0	PROPN	O	@user181 no , there are more extensive steps there . try them all , in order . ^ps
@user197	0	PROPN	O	@user197 hehee , thankyou :d awh lmao :) xxx
@user200	0	PROPN	O	@user200 ima get me a flip phone for real
@user205	0	PROPN	O	@user205 i lost all my contacts , smh .
@user223	0	PROPN	O	@user223 lmao i was waiting for u to say something after the barely pulled it out ....... they still weak as hell tho lol
@user233	0	PROPN	O	@user233 u not callin me
@user257	0	PROPN	O	@user257 i got some inking done on him this morning . not long now .
@user258	0	PROPN	O	@user258 cuz i can n where u been biden at ?
@user305	0	PROPN	O	@user305 thank you !!!!
@user308	0	PROPN	O	@user308 i may have to get minecraft after watching videos of it
@user314	0	PROPN	O	@user314 smh they had to book him fa something .. smh
@user315	0	PROPN	O	@user315 if you 've got ta leave , make sure they never forget you . that 's what i do .
@user321	0	PROPN	O	@user321 i miss fiko ..
@user342	0	PROPN	O	@user342 otay
@user348	0	PROPN	O	@user348 @user1252 2+4 = 6 i have 8 .
@user1252	1	PROPN	O	@user348 @user1252 2+4 = 6 i have 8 .
@user372	0	PROPN	O	@user372 ooooo you made my head spin with that one ! you are such a cheeky studmuffin !
@user407	0	PROPN	O	@user407 lmfao !
@user416	0	PROPN	O	@user416 he 1 shy of tie for most 3s in nba history and 2 shy of breaking it
@user440	0	PROPN	O	@user440 ha . aha !!!!! you so nasty !!!!!!!.. but i like it lmao
@user473	0	PROPN	O	@user473 @user948 @user1227 , morning #etp fam
@user948	1	PROPN	O	@user473 @user948 @user1227 , morning #etp fam
@user1227	2	PROPN	O	@user473 @user948 @user1227 , morning #etp fam
#etp	5	PROPN	O	@user473 @user948 @user1227 , morning #etp fam
@user481	0	PROPN	O	@user481 most annoying song ever .
@user483	0	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user232	1	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user1743	2	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user488	0	PROPN	O	@user488 and uh next video shoot in the hood holla at a nigga ju heard ??
@user496	0	PROPN	O	@user496 is having a giveaway ! url169 url169
@user499	0	PROPN	O	@user499 lol where got ??
@user506	0	PROPN	O	@user506 devoured it lol
@user516	0	PROPN	O	@user516 follow me back yo !
@user534	0	PROPN	O	@user534 wat channle
@user543	0	PROPN	O	@user543 but it 's healthy cuz it has spinach !! ;)
@user554	0	PROPN	O	@user554 hahahaha , maybe it s ment to be . (x
@user562	0	PROPN	O	@user562 ok thank you !! :) i will check it out ♥
@user564	0	PROPN	O	@user564 u eat sushi ?
@user566	0	PROPN	O	@user566 17
@user574	0	PROPN	O	@user574 lol u good just want to give credit where credit is due whensending to radio or tv cats needs their royalties nah mean !
@user575	0	PROPN	O	@user575 yaaay ! ^.^
@user578	0	PROPN	O	@user578 : it s lil bumbs around her lip and she swear it s her lipgloss #dumbniggathere < bumps * typo *
@user579	0	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user39	1	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user1719	2	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user599	0	PROPN	O	@user599 i wanted to tell him to sat his old ass down somewhere , doing the most ....
@user608	0	PROPN	O	@user608 i know the feeling .
@user633	0	PROPN	O	@user633 hey jream , where will the after party be at ?
@user641	0	PROPN	O	@user641 yea from 7 - to 1 lol
@user649	0	PROPN	O	@user649 get the new macbook air !!
@user657	0	PROPN	O	@user657 no worries ... seems like a lot of people are busy
@user659	0	PROPN	O	"@user659 did u get that janette !? "" prefection rhymes with one direction "" not janette gonzalez . ~ lol"
