Orig Index	Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	LW NER Label	Alec NER Label	LW Additional Notes
0	poutine	11	11	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	rt @user1787 : i asked siri to remind me about my <[poutine]> in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	O	O	O	
7	@user779	16	16	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model <[@user779]> aka lady boom boom url107	B-PER	B-PER	B-PER	
11	#jordanheels	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	<[#jordanheels]> are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	B-MISC	B-MISC	B-MISC	
14	@user676	6	6	['PROPN']	['X']	['X']	['O']	[]	#teamnevertoobusytotweet we are on it !!! @user676 url196	#teamnevertoobusytotweet we are on it !!! <[@user676]> url196	B-PER	B-PER	B-PER	
16	@user9	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user9 when have u ever said yes ... ?	<[@user9]> when have u ever said yes ... ?	B-PER	B-PER	B-PER	
17	@user15	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user15 what happened ?	<[@user15]> what happened ?	B-PER	B-PER	B-PER	
18	@user48	0	0	['PROPN']	['X']	['X']	['O']	[]	@user48 ha !! damn auto spellcheck * rondo * lmbo	<[@user48]> ha !! damn auto spellcheck * rondo * lmbo	B-PER	B-PER	B-PER	
19	@user58	0	0	['PROPN']	['INTJ']	['INTJ']	['O']	[]	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p	<[@user58]> congrats !!! fredo noticed you !! please help me get noticed . :p	B-PER	B-PER	B-PER	
20	@user144	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh	<[@user144]> kmsl . leave anna out . of this . god ima have to hear about this all week huh	B-PER	B-PER	B-PER	
21	@user148	0	0	['PROPN']	['NOUN']	['NOUN']	['O']	[]	@user148 4 pages to be precise	<[@user148]> 4 pages to be precise	B-PER	B-PER	B-PER	
22	@user155	0	0	['PROPN']	['X']	['X']	['O']	[]	@user155 that hurts !	<[@user155]> that hurts !	B-PER	B-PER	B-PER	
23	@user156	0	0	['PROPN']	['X']	['X']	['O']	[]	@user156 i 'm allergic and they taste horrible	<[@user156]> i 'm allergic and they taste horrible	B-PER	B-PER	B-PER	
24	@user175	0	0	['PROPN']	['X']	['X']	['O']	[]	@user175 i ve been fine .. could be better lol [:	<[@user175]> i ve been fine .. could be better lol [:	B-PER	B-PER	B-PER	
25	@user181	0	0	['PROPN']	['X']	['X']	['O']	[]	@user181 no , there are more extensive steps there . try them all , in order . ^ps	<[@user181]> no , there are more extensive steps there . try them all , in order . ^ps	B-PER	B-PER	B-PER	
26	@user197	0	0	['PROPN']	['X']	['X']	['O']	[]	@user197 hehee , thankyou :d awh lmao :) xxx	<[@user197]> hehee , thankyou :d awh lmao :) xxx	B-PER	B-PER	B-PER	
27	@user200	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user200 ima get me a flip phone for real	<[@user200]> ima get me a flip phone for real	B-PER	B-PER	B-PER	
