Word	POS Label	NER Label	Spacy POS Label	Spacy NER Label	Tweet
poutine	PROPN	O	NOUN	B-MISC	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …
friday	PROPN	O	PROPN	B-MISC	rt @user912 : you know it 's friday when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …
@user444	PROPN	O	User: No change	B-PER	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444
@user1598	PROPN	O	User: No change	B-PER	""" @user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 """
gospel	PROPN	O	PROPN	B-MISC	""" do n't move on from the gospel , move into the gospel ! "" todd friel"
gospel	PROPN	O	PROPN	B-MISC	""" do n't move on from the gospel , move into the gospel ! "" todd friel"
model	PROPN	O	PROPN	B-MISC	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107
@user779	PROPN	O	User: No change	B-PER	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107
#fridaynightlights	PROPN	O	PROPN	B-MISC	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??
#harrypotter	PROPN	O	PROPN	B-PER	#harrypotter marathon while i write my papers .
marathon	PROPN	O	PROPN	B-MISC	#harrypotter marathon while i write my papers .
#lebronshould	PROPN	O	PROPN	B-PER	#lebronshould know his only championship is ' slam dunk ' . @user2004
#teamceltics	PROPN	O	NOUN	B-ORG	#teamceltics . lakers we coming for you .
#jordanheels	PROPN	O	PROPN	B-ORG	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls
jordan	PROPN	O	PROPN	B-MISC	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls
dj	PROPN	O	X	O	#np dj got us - falling in love ag - u$her ft. pitbull
@user676	PROPN	O	User: No change	B-PER	#teamnevertoobusytotweet we are on it !!! @user676 url196
d	PROPN	O	X	O	3-0 !! phew !!! good no td !!! go job d !!! #birdgang
@user9	PROPN	O	User: No change	B-PER	@user9 when have u ever said yes ... ?
@user15	PROPN	O	User: No change	B-PER	@user15 what happened ?
@user48	PROPN	O	User: No change	B-PER	@user48 ha !! damn auto spellcheck * rondo * lmbo
@user58	PROPN	O	User: No change	B-PER	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p
@user144	PROPN	O	User: No change	B-PER	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh
@user148	PROPN	O	User: No change	B-PER	@user148 4 pages to be precise
@user155	PROPN	O	User: No change	B-PER	@user155 that hurts !
@user156	PROPN	O	User: No change	B-PER	@user156 i 'm allergic and they taste horrible
@user175	PROPN	O	User: No change	B-PER	@user175 i ve been fine .. could be better lol [:
@user181	PROPN	O	User: No change	B-PER	@user181 no , there are more extensive steps there . try them all , in order . ^ps
@user197	PROPN	O	User: No change	B-PER	@user197 hehee , thankyou :d awh lmao :) xxx
@user200	PROPN	O	User: No change	B-PER	@user200 ima get me a flip phone for real
@user205	PROPN	O	User: No change	B-PER	@user205 i lost all my contacts , smh .
@user223	PROPN	O	User: No change	B-PER	@user223 lmao i was waiting for u to say something after the barely pulled it out ....... they still weak as hell tho lol
@user233	PROPN	O	User: No change	B-PER	@user233 u not callin me
@user257	PROPN	O	User: No change	B-PER	@user257 i got some inking done on him this morning . not long now .
@user258	PROPN	O	User: No change	B-PER	@user258 cuz i can n where u been biden at ?
@user305	PROPN	O	User: No change	B-PER	@user305 thank you !!!!
@user308	PROPN	O	User: No change	B-PER	@user308 i may have to get minecraft after watching videos of it
@user314	PROPN	O	User: No change	B-PER	@user314 smh they had to book him fa something .. smh
@user315	PROPN	O	User: No change	B-PER	@user315 if you 've got ta leave , make sure they never forget you . that 's what i do .
@user321	PROPN	O	User: No change	B-PER	@user321 i miss fiko ..
@user342	PROPN	O	User: No change	B-PER	@user342 otay
@user348	PROPN	O	User: No change	B-PER	@user348 @user1252 2+4 = 6 i have 8 .
@user1252	PROPN	O	User: No change	B-PER	@user348 @user1252 2+4 = 6 i have 8 .
@user372	PROPN	O	User: No change	B-PER	@user372 ooooo you made my head spin with that one ! you are such a cheeky studmuffin !
@user407	PROPN	O	User: No change	B-PER	@user407 lmfao !
@user416	PROPN	O	User: No change	B-PER	@user416 he 1 shy of tie for most 3s in nba history and 2 shy of breaking it
@user440	PROPN	O	User: No change	B-PER	@user440 ha . aha !!!!! you so nasty !!!!!!!.. but i like it lmao
@user473	PROPN	O	User: No change	B-PER	@user473 @user948 @user1227 , morning #etp fam
@user948	PROPN	O	User: No change	B-PER	@user473 @user948 @user1227 , morning #etp fam
@user1227	PROPN	O	User: No change	B-PER	@user473 @user948 @user1227 , morning #etp fam
#etp	PROPN	O	X	B-ORG	@user473 @user948 @user1227 , morning #etp fam
@user481	PROPN	O	User: No change	B-PER	@user481 most annoying song ever .
@user483	PROPN	O	User: No change	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user232	PROPN	O	User: No change	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user1743	PROPN	O	User: No change	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user488	PROPN	O	User: No change	B-PER	@user488 and uh next video shoot in the hood holla at a nigga ju heard ??
@user496	PROPN	O	User: No change	B-PER	@user496 is having a giveaway ! url169 url169
@user499	PROPN	O	User: No change	B-PER	@user499 lol where got ??
@user506	PROPN	O	User: No change	B-PER	@user506 devoured it lol
@user516	PROPN	O	User: No change	B-PER	@user516 follow me back yo !
@user534	PROPN	O	User: No change	B-PER	@user534 wat channle
@user543	PROPN	O	User: No change	B-PER	@user543 but it 's healthy cuz it has spinach !! ;)
@user554	PROPN	O	User: No change	B-PER	@user554 hahahaha , maybe it s ment to be . (x
@user562	PROPN	O	User: No change	B-PER	@user562 ok thank you !! :) i will check it out ♥
@user564	PROPN	O	User: No change	B-PER	@user564 u eat sushi ?
