Sentence Index	Word	Start Word Index	End Word Index	POS Label	NER Label	Tweet	Tweet POS Labels	Tweet NER Labels
40	poutine	11	11	['PROPN']	['O']	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	['X', 'X', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'PRON', 'ADP', 'PRON', 'PROPN', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'CCONJ', 'ADV', 'VERB', 'DET', 'PROPN', 'PUNCT', 'X', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']
43	friday	7	7	['PROPN']	['O']	rt @user912 : you know it 's friday when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …	['X', 'X', 'PUNCT', 'PRON', 'VERB', 'PRON', 'AUX', 'PROPN', 'ADV', 'DET', 'PROPN', 'NOUN', 'VERB', 'PRON', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'SCONJ', 'PRON', 'VERB', 'ADJ', 'NOUN', 'ADV', 'PUNCT', 'X', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
46	@user444	17	17	['PROPN']	['O']	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444	['PROPN', 'PROPN', 'CCONJ', 'PRON', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PRON', 'NOUN', 'PUNCT', 'X', 'ADP', 'PROPN']	['B-PER', 'I-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
48	@user1598	1	1	['PROPN']	['O']	""" @user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 """	['PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PART', 'PROPN', 'VERB', 'ADP', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT', 'ADP', 'PUNCT', 'PROPN', 'PUNCT', 'X', 'PUNCT']	['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PER', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O']
49	gospel	7	7	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']
49	gospel	12	12	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']
53	model	15	15	['PROPN']	['O']	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	['VERB', 'PRON', 'CCONJ', 'VERB', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']
53	@user779	16	16	['PROPN']	['O']	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	['VERB', 'PRON', 'CCONJ', 'VERB', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']
54	#fridaynightlights	0	0	['PROPN']	['O']	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??	['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']
55	#harrypotter marathon	0	1	['PROPN', 'PROPN']	['O', 'O']	#harrypotter marathon while i write my papers .	['PROPN', 'PROPN', 'SCONJ', 'PRON', 'VERB', 'PRON', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
