Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	Alec NER Label	Alec Additional Notes
poutine	11	11	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	rt @user1787 : i asked siri to remind me about my <[poutine]> in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	['O']	[O]	
friday	7	7	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user912 : you know it 's friday when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …	rt @user912 : you know it 's <[friday]> when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …	['B-MISC']	[B-MISC]	
@user444	17	17	['PROPN']	['X']	['X']	['O']	[]	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via <[@user444]>	['B-PER']	[B-PER]	
@user1598	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	" @user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 "	" <[@user1598]> : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 "	['B-PER']	[B-PER]	
gospel	7	7	['PROPN']	['PROPN']	['PROPN']	['O']	[]	" do n't move on from the gospel , move into the gospel ! " todd friel	" do n't move on from the <[gospel]> , move into the gospel ! " todd friel	['B-MISC']	[B-MISC]	
gospel	12	12	['PROPN']	['PROPN']	['PROPN']	['O']	[]	" do n't move on from the gospel , move into the gospel ! " todd friel	" do n't move on from the gospel , move into the <[gospel]> ! " todd friel	['B-MISC']	[B-MISC]	
model	15	15	['PROPN']	['NOUN']	['NOUN']	['O']	[]	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	#follow us & #checkout the multi - talented spanglish / techno / pop singer / <[model]> @user779 aka lady boom boom url107	['O']	[B-MISC]	
@user779	16	16	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model <[@user779]> aka lady boom boom url107	['B-PER']	[B-PER]	
#fridaynightlights	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??	<[#fridaynightlights]> viewing party at stick & stein in el segundo ! who 's with me ??	['B-MISC']	[B-MISC]	
#lebronshould	0	0	['PROPN']	['PRON']	['PRON']	['O']	[]	#lebronshould know his only championship is ' slam dunk ' . @user2004	<[#lebronshould]> know his only championship is ' slam dunk ' . @user2004	['O']	[B-MISC]	
#teamceltics	0	0	['PROPN']	['NOUN']	['NOUN']	['O']	[]	#teamceltics . lakers we coming for you .	<[#teamceltics]> . lakers we coming for you .	['O']	[B-MISC]	
#jordanheels	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	<[#jordanheels]> are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['B-MISC']	[B-MISC]	
jordan	13	13	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	#jordanheels are very useful in a fight cause a hoodrat will put a <[jordan]> stamp n hole in ur dome lls	['B-MISC']	[B-MISC]	
dj	1	1	['PROPN']	['PROPN']	['PROPN']	['O']	[]	#np dj got us - falling in love ag - u$her ft. pitbull	#np <[dj]> got us - falling in love ag - u$her ft. pitbull	['B-MISC']	[B-PER]	
@user676	6	6	['PROPN']	['X']	['X']	['O']	[]	#teamnevertoobusytotweet we are on it !!! @user676 url196	#teamnevertoobusytotweet we are on it !!! <[@user676]> url196	['B-PER']	[B-PER]	
d	10	10	['PROPN']	['NOUN']	['NOUN']	['O']	[]	3-0 !! phew !!! good no td !!! go job d !!! #birdgang	3-0 !! phew !!! good no td !!! go job <[d]> !!! #birdgang	['O']	[O]	
@user9	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user9 when have u ever said yes ... ?	<[@user9]> when have u ever said yes ... ?	['B-PER']	[B-PER]	
@user15	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user15 what happened ?	<[@user15]> what happened ?	['B-PER']	[B-PER]	
@user48	0	0	['PROPN']	['X']	['X']	['O']	[]	@user48 ha !! damn auto spellcheck * rondo * lmbo	<[@user48]> ha !! damn auto spellcheck * rondo * lmbo	['B-PER']	[B-PER]	
@user58	0	0	['PROPN']	['INTJ']	['INTJ']	['O']	[]	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p	<[@user58]> congrats !!! fredo noticed you !! please help me get noticed . :p	['B-PER']	[B-PER]	
@user144	0	0	['PROPN']	['PROPN']	['PROPN']	['O']	[]	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh	<[@user144]> kmsl . leave anna out . of this . god ima have to hear about this all week huh	['B-PER']	[B-PER]	
@user148	0	0	['PROPN']	['NOUN']	['NOUN']	['O']	[]	@user148 4 pages to be precise	<[@user148]> 4 pages to be precise	['B-PER']	[B-PER]	
@user155	0	0	['PROPN']	['X']	['X']	['O']	[]	@user155 that hurts !	<[@user155]> that hurts !	['B-PER']	[B-PER]	
