Word	POS Label	NER Label	Spacy POS Label	Spacy NER Label	Tweet	Candidate Label
poutine	['PROPN']	['O']	['PROPN']	['O']	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	rt @user1787 : i asked siri to remind me about my <[poutine]> in the office fridge but she misinterpreted and probably alerted the fbi . url222 …
friday	['PROPN']	['O']	['PROPN']	['B-MISC']	rt @user912 : you know it 's friday when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …	rt @user912 : you know it 's <[friday]> when the port2port newsletter hits your inbox . sign up if you like fine wines too . url1265 …
@user444	['PROPN']	['O']	['NOUN']	B-PER	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via <[@user444]>
@user1598	['PROPN']	['O']	['PROPN']	B-PER	""" @user1598 : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 """	""" <[@user1598]> : super junior ’s siwon transforms into ‘ captain choi ’ for “ poseidon ” url139 """
gospel	['PROPN']	['O']	['PROPN']	['B-MISC']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	""" do n't move on from the <[gospel]> , move into the gospel ! "" todd friel"
gospel	['PROPN']	['O']	['PROPN']	['B-MISC']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	""" do n't move on from the gospel , move into the <[gospel]> ! "" todd friel"
model	['PROPN']	['O']	['PROPN']	['O']	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	#follow us & #checkout the multi - talented spanglish / techno / pop singer / <[model]> @user779 aka lady boom boom url107
@user779	['PROPN']	['O']	['PROPN']	B-PER	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model <[@user779]> aka lady boom boom url107
#fridaynightlights	['PROPN']	['O']	['PROPN']	['B-MISC']	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??	<[#fridaynightlights]> viewing party at stick & stein in el segundo ! who 's with me ??
#harrypotter marathon	['PROPN', 'PROPN']	['O', 'O']	['PROPN', 'PROPN']	['B-MISC', 'I-MISC']	#harrypotter marathon while i write my papers .	<[#harrypotter <[#harrypotter]> while i write my papers .
