Orig Index	Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	LW NER Label	Alec NER Label	Akshat NER Label	LW Additional Notes
2	@user444	17	17	['PROPN']	['X']	['X']	['O']	[]	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via @user444	mikel obi & his girl olga diyachenko spend holiday in spain with their kids … url1219 via <[@user444]>	B-PER	B-ORG	B-PER		
651	@user1790	14	14	['PROPN']	['NOUN']	['NOUN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see @user812 at @user1335 on 8/12 . tune in today on <[@user1790]> at 6 p pt to win url632 url1238	B-PER	B-ORG	B-PER		
298	@user2652	17	17	['PROPN']	['X']	['X']	['O']	[]	rt @user411 laughing matter = me being serious . just watch . be encouraged !! url172 via @user2652	rt @user411 laughing matter = me being serious . just watch . be encouraged !! url172 via <[@user2652]>	B-PER	B-ORG	B-PER		
650	@user1335	6	6	['PROPN']	['NOUN']	['NOUN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see @user812 at <[@user1335]> on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	B-PER	B-ORG	B-PER		
321	@user381	12	12	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user1079 : always have your stuff when you need it with @user381 . 2gb account is free ! url148	rt @user1079 : always have your stuff when you need it with <[@user381]> . 2gb account is free ! url148	B-PER	B-MISC	B-PER		
344	@user1295	9	9	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rain rain go away <-- our song is on @user1295 i kid you not 107.5	rain rain go away <-- our song is on <[@user1295]> i kid you not 107.5	B-PER	B-ORG	B-PER		
649	@user812	4	4	['PROPN']	['PROPN']	['PROPN']	['O']	[]	win tix to see @user812 at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	win tix to see <[@user812]> at @user1335 on 8/12 . tune in today on @user1790 at 6 p pt to win url632 url1238	B-PER	B-MISC	B-PER		
637	@user1409	14	14	['PROPN']	['NOUN']	['NOUN']	['O']	[]	rt @user2076 : . i apologise for this , but i hope every pro-eu @user1409 member reads it . it 's so important . url1620	rt @user2076 : . i apologise for this , but i hope every pro-eu <[@user1409]> member reads it . it 's so important . url1620	B-PER	B-ORG	B-PER		
635	@user136	5	5	['PROPN']	['PROPN']	['PROPN']	['O']	[]	register now for the junior @user136 u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	register now for the junior <[@user136]> u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	B-PER	B-MISC	B-PER		
353	@user2350	11	11	['PROPN']	['X']	['X']	['O']	[]	the onion weighs in on the wisconsin senate race url99 via @user2350	the onion weighs in on the wisconsin senate race url99 via <[@user2350]>	B-PER	B-ORG	B-PER		
