TRAIN	Count	VAL	Count	TEST	Count
the	19	the	10.0	the	12.0
of	6	canadian	3.0	's	7.0
i	6	of	3.0	world	5.0
-	4	itunes	2.0	muslims	4.0
day	3	easter	2.0	cup	3.0
you	3	2	2.0	p9	3.0
like	3	easy	2.0	day	3.0
show	3	with	2.0	tour	3.0
2016	3	vape	2.0	moon	3.0
award	3	's	2.0	of	3.0
3	3	academy	2.0	era	2.0
american	3	-	2.0	new	2.0
no	2	british	2.0	say	2.0
am	2	show	2.0	who	2.0
viagra	2	i	2.0	us	2.0
aid	2	american	2.0	it	2.0
obamacare	2	monogram	1.0	uni	2.0
gp	2	ocarina	1.0	live	2.0
republican	2	zelda	1.0	libra	2.0
that	2	time	1.0	-	2.0
we	2	bag	1.0	olympic	2.0
kool	2	marelle	1.0	iphone	2.0
canadian	2	shoulder	1.0	muslim	2.0
with	2	democratic	1.0	stanley	2.0
my	2	convention	1.0	viagra	2.0
forever	2	final	1.0	house	2.0
china	2	fantasy	1.0	russian	2.0
ultra	2	nonexistent	1.0	doctor	2.0
droid	2	proverbs	1.0	snsd	2.0
way	2	but	1.0	get	2.0
americans	2	ps4	1.0	another	2.0
pokemon	2	fa	1.0	ball	2.0
4	2	cup	1.0	me	2.0
see	2	harambe	1.0	you	2.0
fallout	2	siberian	1.0	what	2.0
babies	2	birds	1.0	i	2.0
in	2	pt.	1.0	john	2.0
valentines	2	1	1.0	home	2.0
macbook	2	olympic	1.0	slam	2.0
s6	2	leo	1.0	dunk	2.0
christian	2	all	1.0	power	2.0
2010	2	st	1.0	and	2.0
love	2	tastes	1.0	in	2.0
beanie	2	vices	1.0	american	2.0
satan	2	&	1.0	gold	2.0
iphone	2	virtues	1.0	falling	1.0
summer	2	where	1.0	god	1.0
brexit	2	ching	1.0	gta	1.0
gemini	2	are	1.0	5	1.0
america	2	books	1.0	candy	1.0
musical	2	em	1.0	ghazavids	1.0
slamdunk	1	dabb	1.0	13:7	1.0
drug	1	plus	1.0	abdalis	1.0
battle	1	pokemon	1.0	crush	1.0
zone	1	go	1.0	govian	1.0
beautiful	1	priv	1.0	ghorids	1.0
for	1	stv100-1	1.0	bates	1.0
xtreme	1	android	1.0	leaves	1.0
iwo	1	african	1.0	motel	1.0
jima	1	'd	1.0	panjabi	1.0
fastory	1	do	1.0	walk	1.0
twilight	1	anything	1.0	burning	1.0
hamilton	1	dogs	1.0	tombstone	1.0
fathers	1	jobs	1.0	father	1.0
french	1	americans	1.0	quran	1.0
monaco	1	european	1.0	syrians	1.0
chinese	1	sildenafil	1.0	climax	1.0
voting	1	paradise	1.0	yg	1.0
pro-eu	1	island	1.0	family	1.0
rights	1	vat	1.0	2014	1.0
slots	1	grammy	1.0	valentine	1.0
act	1	eight	1.0	itunes	1.0
climb	1	on	1.0	body	1.0
take	1	hateful	1.0	snake	1.0
kardashians	1	32	1.0	aries	1.0
2017	1	dodgems	1.0	hispanic	1.0
easter	1	australian	1.0	obamacare	1.0
look	1	sumerians	1.0	acm	1.0
turks	1	pakistanis	1.0	awards	1.0
oneplus	1	lob	1.0	mad	1.0
democrats	1	episode	1.0	men	1.0
excellence	1	:	1.0	sopranos	1.0
innovation	1	basque	1.0	no	1.0
cod	1	football	1.0	man	1.0
jihadist	1	civil	1.0	sky	1.0
tragedies	1	war	1.0	tribez	1.0
not	1	awards	1.0	castlez	1.0
sins	1	gone	1.0	glaswegian	1.0
write	1	wind	1.0	godfather	1.0
league	1	iphone	1.0	smash	1.0
rocks	1	4s	1.0	fund	1.0
tribe	1	trump	1.0	fs	1.0
ages	1	and	1.0	100	1.0
middle	1	wrestlemania	1.0	&	1.0
f40	1	aston	1.0	15	1.0
mike	1	die	1.0	online	1.0
after	1	another	1.0	43:2	1.0
korean	1	day	1.0	bo1	1.0
italian	1	jaguar	1.0	liberal	1.0
keeping	1	xkr	1.0	50	1.0
boost	1	avatar	1.0	article	1.0
usa	1	2+3	1.0	pichu	1.0
classic	1	thai	1.0	gospel	1.0
arnold	1	award	1.0	3	1.0
curse	1	best	1.0	kindle	1.0
kardashian	1	picture	1.0	amazon	1.0
2015	1	mo	1.0	daily	1.0
up	1	city	1.0	russo	1.0
catholic	1	don	1.0	claudio	1.0
mr	1	freestyle	1.0	13	1.0
genesis	1	that	1.0	season	1.0
nes	1	so	1.0	anatomy	1.0
shazams	1	db5	1.0	tournaments	1.0
sultan	1	kinect	1.0	dragonhardt	1.0
santa	1	fair	1.0	christians	1.0
golfing	1	xbox	1.0	guapo	1.0
animated	1	playbook	1.0	republicans	1.0
christmas	1	indonesian	1.0	vichy	1.0
virgo	1	welcome	1.0	sec	1.0
constitutional	1	to	1.0	treas	1.0
donald	1	a	1.0	with	1.0
nsx	1	nascar	1.0	k-pop	1.0
spark	1	raceday	1.0	el	1.0
wwdc	1	bud	1.0	buffy	1.0
whatsapp	1	shootout	1.0	troph	1.0
ios	1	tinkerbell	1.0	hart	1.0
whatsapp+	1	dems	1.0	champ	1.0
6	1	regulate	1.0	jr.	1.0
festival	1	asian	1.0	stars	1.0
film	1	family	1.0	counting	1.0
britain	1	feud	1.0	grey	1.0
actor	1	new	1.0	isaiah	1.0
supporting	1	yorker	1.0	head	1.0
best	1	raven	1.0	cs:go	1.0
thai	1	sorry	1.0	full	1.0
hindi	1	4	1.0	act	1.0
1989	1	wait	1.0	'	1.0
well	1	ocean	1.0	ex	1.0
is	1	muslim	1.0	christian	1.0
all	1	fire	1.0	child	1.0
mind	1	alarm	1.0	love	1.0
ambassadors	1	manager	1.0	is	1.0
young	1	information	1.0	tell	1.0
ramadan	1	security	1.0	arab	1.0
dll	1	kiss	1.0	apollo	1.0
reform	1	it	1.0	british	1.0
security	1	better	1.0	1:24	1.0
social	1	same	1.0	corinthians	1.0
swedish	1	ol	1.0	2	1.0
allah	1	mistakes	1.0	cross	1.0
finals	1	cjusd	1.0	border	1.0
hope	1	district	1.0	vat	1.0
analyzer	1	college	1.0	frozen	1.0
kenyan	1	career	1.0	r	1.0
a.m	1	by	1.0	u	1.0
distance	1	cake	1.0	report	1.0
felt	1	up	1.0	minority	1.0
edge	1	super	1.0	5x	1.0
galaxy	1	scream	1.0	nexus	1.0
samsung	1	halloween	1.0	summit	1.0
native	1	mobbed	1.0	cards	1.0
quarterfinals	1	sema	1.0	leadership	1.0
copa	1	love	1.0	dems	1.0
different	1	refrain	1.0	svtfoe	1.0
centipede	1	scorpion	1.0	ipad	1.0
publishing	1	bowl	1.0	ios	1.0
human	1	shut	1.0	csgo	1.0
seconds	1	game	1.0	iranian	1.0
5	1	thrones	1.0	way	1.0
leo	1	granths	1.0	feminists	1.0
&	1	iranian	1.0	grammy	1.0
myself	1	islamic	1.0	true	1.0
,	1	8sideways	1.0	blood	1.0
me	1	toxic	1.0	xanadu	1.0
beam	1	pisces	1.0	harry	1.0
light	1			potter	1.0
word	1			south	1.0
letter	1			park	1.0
conservative	1			ampme	1.0
high	1			kidrhymes	1.0
snoopy	1			pisces	1.0
survivor	1			mean	1.0
lone	1			girls	1.0
kpop	1			mass	1.0
european	1			effect	1.0
vow	1			stockholm	1.0
governor	1			soccer	1.0
christianity	1			syndrome	1.0
eph	1			young	1.0
supergirl	1			thug	1.0
universe	1			future	1.0
miss	1			rich	1.0
go	1			homie	1.0
fade	1			quan	1.0
huntsman	1			purple	1.0
somebody	1			reign	1.0
are	1			revealed	1.0
#4	1			radio	1.0
adventures	1			doppler	1.0
5:14	1			widd	1.0
socialism	1			lost	1.0
dems	1			championship	1.0
roll	1			women	1.0
m	1			amore	1.0
seuss	1			comic	1.0
bvs	1			boyfriend	1.0
ugandans	1			series	1.0
kjv	1			actuality	1.0
school	1			story	1.0
photoshop	1			teen	1.0
bitcoins	1			titans	1.0
artemis	1			indian	1.0
park	1			hurricane	1.0
south	1			katrina	1.0
southpark	1			italians	1.0
shore	1			jewish	1.0
jersey	1			friday	1.0
islamic	1			night	1.0
loops	1			lights	1.0
fruit	1			sans	1.0
friends	1			3a	1.0
words	1			woman	1.0
moroccan	1			brazilian	1.0
caprisun	1			devil	1.0
century	1			came	1.0
21st	1			on	1.0
capitalism	1			horseback	1.0
autumns	1			fc	1.0
thousand	1			menu	1.0
god	1			utility	1.0
zumba	1			2.0	1.0
billionaire	1			america	1.0
snes	1			halloween	1.0
davis	1			warped	1.0
simpsons	1			colorado	1.0
cuts	1			dolce	1.0
tax	1			wrong	1.0
bush	1			summer	1.0
halloween	1			air	1.0
back	1			broken	1.0
turning	1			vows	1.0
birdman	1			english	1.0
night	1			twitterettes	1.0
marry	1			rainbow	1.0
early	1			dark	1.0
rain	1			work	1.0
purple	1			bartolomeo	1.0
choons	1			orders	1.0
killa	1			sounds	1.0
20	1			feels	1.0
chicagoan	1			fresh	1.0
tops	1			prince	1.0
islam	1			bel	1.0
sneaker	1			huawei	1.0
maps	1			jadine	1.0
google	1			plus	1.0
vegas	1			deadpool	1.0
air	1			italian	1.0
minecraft	1			desire	1.0
brothers	1			sweet	1.0
step	1			studio	1.0
ag	1			ohana	1.0
falling	1			big	1.0
appeal	1			picture	1.0
whip	1			xbox	1.0
surface	1			360	1.0
beneath	1			know	1.0
spanglish	1			did	1.0
poseidon	1			last	1.0
amendment	1			dnp	1.0
dickey	1			rough	1.0
htb	1			trousers	1.0
expo	1			sea	1.0
t	1			goldfish	1.0
l.a.	1			dick	1.0
trans	1			dom	1.0
bridalplasty	1			da	1.0
summit	1			bungalow	1.0
autism	1			jehovah	1.0
lasers	1			sabaoth	1.0
on	1			jamaican	1.0
goes	1			t20	1.0
design	1			babe	1.0
haggis	1			myself	1.0
indian	1			egyptian	1.0
times	1			falmouth	1.0
good	1			gp	1.0
hibachi	1			2017	1.0
texan	1			remix	1.0
bay	1			(	1.0
da	1			perfecto	1.0
2	1			mix	1.0
cup	1			)	1.0
barracuda	1			ambassador	1.0
jaws	1			pabebe	1.0
time	1			wave	1.0
app	1			friends	1.0
video	1			middle	1.0
darby	1			eastern	1.0
rec	1			meathook	1.0
and	1			seed	1.0
parks	1			hamilton	1.0
montana	1			ayo	1.0
hannah	1			polish	1.0
internet	1				
46	1				
moto	1				
s	1				
it	1				
neptune	1				
authorities	1				
higher	1				
bounce	1				
history	1				
travel	1				
bad	1				
president	1				
war	1				
civil	1				
captan	1				
guangzhou	1				
fly	1				
dory	1				
finding	1				
thrones	1				
game	1				
feminist	1				
remake	1				
ghosbusters	1				
polish	1				
fair	1				
farzi	1				
care	1				
sagittarius	1				
fut	1				
lady	1				
wars	1				
star	1				
city	1				
this	1				
built	1				
titans	1				
wrath	1				
beanies	1				
muslim	1				
gospel	1				
's	1				
matthew	1				
series	1				
world	1				
bowl	1				
super	1				
showoffradio	1				
flyboys	1				
romance	1				
megamind	1				
charlie	1				
unicorn	1				
think	1				
fajr	1				
pak	1				
polka	1				
pennsylvania	1				
parkinsons	1				
sexy	1				
'm	1				
if	1				
gyne-lotriminor	1				
superman	1				
wpials	1				
2011	1				
tour	1				
north	1				
k-pop	1				
serophene	1				
1990	1				
