	Sentence Index	Word	Start Word Index	End Word Index	POS Label	NER Label	Tweet	Tweet POS Labels	Tweet NER Labels	PROPOSED NER Label	FINAL NER Label
0	40	poutine	11	11	['PROPN']	['O']	rt @user1787 : i asked siri to remind me about my poutine in the office fridge but she misinterpreted and probably alerted the fbi . url222 …	['X', 'X', 'PUNCT', 'PRON', 'VERB', 'PROPN', 'PART', 'VERB', 'PRON', 'ADP', 'PRON', 'PROPN', 'ADP', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'CCONJ', 'ADV', 'VERB', 'DET', 'PROPN', 'PUNCT', 'X', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']	O	O
4	49	gospel	7	7	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']	O	O
5	49	gospel	12	12	['PROPN']	['O']	""" do n't move on from the gospel , move into the gospel ! "" todd friel"	['PUNCT', 'AUX', 'PART', 'VERB', 'ADP', 'ADP', 'DET', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'PROPN', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']	O	O
6	53	model	15	15	['PROPN']	['O']	#follow us & #checkout the multi - talented spanglish / techno / pop singer / model @user779 aka lady boom boom url107	['VERB', 'PRON', 'CCONJ', 'VERB', 'DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O']	O	O
8	54	#fridaynightlights	0	0	['PROPN']	['O']	#fridaynightlights viewing party at stick & stein in el segundo ! who 's with me ??	['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'PRON', 'AUX', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
10	57	#lebronshould	0	0	['PROPN']	['O']	#lebronshould know his only championship is ' slam dunk ' . @user2004	['PROPN', 'VERB', 'PRON', 'ADJ', 'NOUN', 'AUX', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	B-PER
11	61	#teamceltics	0	0	['PROPN']	['O']	#teamceltics . lakers we coming for you .	['PROPN', 'PUNCT', 'PROPN', 'PRON', 'VERB', 'ADP', 'PRON', 'PUNCT']	['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']	B-ORG	B-ORG
12	66	#jordanheels	0	0	['PROPN']	['O']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['PROPN', 'AUX', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-MISC
13	66	jordan	13	13	['PROPN']	['O']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['PROPN', 'AUX', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	B-MISC	B-ORG
14	68	dj	1	1	['PROPN']	['O']	#np dj got us - falling in love ag - u$her ft. pitbull	['X', 'PROPN', 'VERB', 'PRON', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT', 'PROPN', 'VERB', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-PER', 'O', 'B-PER']	B-MISC	O
16	82	d	10	10	['PROPN']	['O']	3-0 !! phew !!! good no td !!! go job d !!! #birdgang	['NUM', 'PUNCT', 'INTJ', 'PUNCT', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	O	O
49	113	#etp	5	5	['PROPN']	['O']	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']	O	B-ORG
