Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Final NER Label	Tweet	Candidate Label
#harrypotter marathon	0	1	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['WORK_OF_ART', 'WORK_OF_ART']	['B-MISC', 'I-MISC']	#harrypotter marathon while i write my papers .	<[#harrypotter marathon]> while i write my papers .
early bird special	0	2	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	['WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART']	['B-MISC', 'I-MISC', 'I-MISC']	early bird special : conscious capitalism , new business model for 21st century in online masterclass - url60	<[early bird special]> : conscious capitalism , new business model for 21st century in online masterclass - url60
oem window mount	2	4	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'NOUN']	['PROPN', 'PROPN', 'NOUN']	['O', 'O', 'O']	[]	['B-MISC', 'I-MISC', 'I-MISC']	motorola droid oem window mount – only for the first generation motorola droid : product descriptionthe motorola dr ... url32	motorola droid <[oem window mount]> – only for the first generation motorola droid : product descriptionthe motorola dr ... url32
monday nov	14	15	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['DATE', 'DATE']	['B-MISC', 'I-MISC']	next week - two morning zumba classes with me if you 're interested - monday nov 1st at 8:30 am and wednesday at ... url63	next week - two morning zumba classes with me if you 're interested - <[monday nov]> 1st at 8:30 am and wednesday at ... url63
fitness business	5	6	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	owning your craft in the fitness business - url151 #fitness bodybuilding #professionals #vancouver	owning your craft in the <[fitness business]> - url151 #fitness bodybuilding #professionals #vancouver
four loko	11	12	['PROPN', 'PROPN']	['NUM', 'PROPN']	['NUM', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	ps : hearing the the early show cast get outraged by four loko was hilarious . made my morning and subsequent day . #parentsjustdontunderstand	ps : hearing the the early show cast get outraged by <[four loko]> was hilarious . made my morning and subsequent day . #parentsjustdontunderstand
prime minister	13	14	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	rt @user1390 : berlusconi probed over cash - for - sex case : prime minister silvio berlusconi faces investigation in a prostitution ... htt ...	rt @user1390 : berlusconi probed over cash - for - sex case : <[prime minister]> silvio berlusconi faces investigation in a prostitution ... htt ...
#mnd charity	16	17	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	rt @user1767 : check out url42 . freezing my nads in the snow , naked for #mnd charity . £ 4.5 k raised so far . please rt ! thx .	rt @user1767 : check out url42 . freezing my nads in the snow , naked for <[#mnd charity]> . £ 4.5 k raised so far . please rt ! thx .
lil webbies	10	11	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	rt @user1962 : shout - out to @user610 definition of lil webbies i-n-d-e-p-e-n-d-e-n-t --> do you know what means man ??? « ayyye !	rt @user1962 : shout - out to @user610 definition of <[lil webbies]> i-n-d-e-p-e-n-d-e-n-t --> do you know what means man ??? « ayyye !
dojo news	0	1	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['ORG', 'ORG']	['B-ORG', 'I-ORG']	dojo news : ahead of all - american top team title fight , take a tour of the team ’s new florida headquarters url1240	<[dojo news]> : ahead of all - american top team title fight , take a tour of the team ’s new florida headquarters url1240
