Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	LW NER Label	Akshat NER Label	LW Additional Notes
#harrypotter marathon	0	1	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['WORK_OF_ART', 'WORK_OF_ART']	#harrypotter marathon while i write my papers .	<[#harrypotter marathon]> while i write my papers .	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	
early bird special	0	2	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	['WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART']	early bird special : conscious capitalism , new business model for 21st century in online masterclass - url60	<[early bird special]> : conscious capitalism , new business model for 21st century in online masterclass - url60	['B-MISC', 'I-MISC', 'I-MISC']	['O', 'O', 'O']	O O O	
oem window mount	2	4	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'NOUN']	['PROPN', 'PROPN', 'NOUN']	['O', 'O', 'O']	[]	motorola droid oem window mount – only for the first generation motorola droid : product descriptionthe motorola dr ... url32	motorola droid <[oem window mount]> – only for the first generation motorola droid : product descriptionthe motorola dr ... url32	['B-MISC', 'I-MISC', 'I-MISC']	['O', 'O', 'O']	O O O	
monday nov	14	15	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['DATE', 'DATE']	next week - two morning zumba classes with me if you 're interested - monday nov 1st at 8:30 am and wednesday at ... url63	next week - two morning zumba classes with me if you 're interested - <[monday nov]> 1st at 8:30 am and wednesday at ... url63	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	O O O	date and time not doing it
fitness business	5	6	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	owning your craft in the fitness business - url151 #fitness bodybuilding #professionals #vancouver	owning your craft in the <[fitness business]> - url151 #fitness bodybuilding #professionals #vancouver	['O', 'O']	['O', 'O']	O O	
four loko	11	12	['PROPN', 'PROPN']	['NUM', 'PROPN']	['NUM', 'PROPN']	['O', 'O']	[]	ps : hearing the the early show cast get outraged by four loko was hilarious . made my morning and subsequent day . #parentsjustdontunderstand	ps : hearing the the early show cast get outraged by <[four loko]> was hilarious . made my morning and subsequent day . #parentsjustdontunderstand	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	product name
prime minister	13	14	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	rt @user1390 : berlusconi probed over cash - for - sex case : prime minister silvio berlusconi faces investigation in a prostitution ... htt ...	rt @user1390 : berlusconi probed over cash - for - sex case : <[prime minister]> silvio berlusconi faces investigation in a prostitution ... htt ...	['B-MISC', 'I-MISC']	['B-PER', 'I-PER']	B-MISC I-MISC	
#mnd charity	16	17	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	rt @user1767 : check out url42 . freezing my nads in the snow , naked for #mnd charity . £ 4.5 k raised so far . please rt ! thx .	rt @user1767 : check out url42 . freezing my nads in the snow , naked for <[#mnd charity]> . £ 4.5 k raised so far . please rt ! thx .	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	
lil webbies	10	11	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	rt @user1962 : shout - out to @user610 definition of lil webbies i-n-d-e-p-e-n-d-e-n-t --> do you know what means man ??? « ayyye !	rt @user1962 : shout - out to @user610 definition of <[lil webbies]> i-n-d-e-p-e-n-d-e-n-t --> do you know what means man ??? « ayyye !	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	
dojo news	0	1	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['ORG', 'ORG']	dojo news : ahead of all - american top team title fight , take a tour of the team ’s new florida headquarters url1240	<[dojo news]> : ahead of all - american top team title fight , take a tour of the team ’s new florida headquarters url1240	['B-ORG', 'I-ORG']	['B-ORG', 'I-ORG']	B-ORG I-ORG	
zig zag	25	26	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	rt @user1760 : crocodiles are fast on their feet , but can not turn very well . if one is chasing you , run in zig zag lines .	rt @user1760 : crocodiles are fast on their feet , but can not turn very well . if one is chasing you , run in <[zig zag]> lines .	['O', 'O']	['O', 'O']	O O	
guilty gear	5	6	['PROPN', 'PROPN']	['ADJ', 'NOUN']	['ADJ', 'NOUN']	['O', 'O']	[]	rt @user1456 : dizzy in guilty gear #evo2016 url401	rt @user1456 : dizzy in <[guilty gear]> #evo2016 url401	['O', 'O']	['O', 'O']	O O	
yella habibi	12	13	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	watching #9thehabibs is like hanging out with my in - laws . yella habibi ! 😂	watching #9thehabibs is like hanging out with my in - laws . <[yella habibi]> ! 😂	['O', 'O']	['O', 'O']	O O	translation
